nom_de_la_commune,code_postal,ligne_5
TOURY,28310,
GOMMERVILLE,28700,ORLU
ST DIDIER EN DONJON,3130,
TREMBLAY LES VILLAGES,28170,CHENE CHENU
GOUSSAINVILLE,28410,CHAMPAGNE
ST DIDIER LA FORET,3110,
TREMBLAY LES VILLAGES,28170,ECUBLE
GUAINVILLE,28260,
ST FELIX,3260,
UNVERRE,28160,
GUILLEVILLE,28310,
ST GERMAIN DES FOSSES,3260,
EOLE EN BEAUCE,28140,GERMIGNONVILLE
HAVELU,28410,
ST GERMAIN DE SALLES,3140,
VILLAMPUY,28200,
JALLANS,28200,
ST LOUP,3150,
VILLEBON,28190,
JAUDRAIS,28250,
ST MARCEL EN MURAT,3390,
YMONVILLE,28150,
JOUY,28300,
ST NICOLAS DES BIEFS,3250,
BAYE,29300,
LORMAYE,28210,
ST PALAIS,3370,
BODILIS,29400,
LA LOUPE,28240,
ST POURCAIN SUR BESBRE,3290,
BRENNILIS,29690,
LOUVILLIERS EN DROUAIS,28500,
ST PRIEST D ANDELOT,3800,
CAMARET SUR MER,29570,
